X8	X14	X30	X33	X36	X40	X43	X44	X45	X46	X48	X55	X58	X63	X73	X81	X84	X85	X88	X89	X90	X96	X98	X100	X104	X106	X109	X110	X111	X113	X121	X122	X126	X129	X135	X136	X139	X140	X141	X145	X151	X152	X153	X154	X159	X164	X168	X171	X173	X181	X185	X189	X190	X194	X210	X213	X220	X227	X229	X232	X233	X239	X242	X247	X248	X249	X255	X277	X280	X281	X289	X293	X295	X299	X302	X306	X326	X339	X347	X359	X364	X372	X378	X384	X386	X396	X403	X404	X441	X452	X462	X469	X470	X477	X481	X486	X490	X496	X499	X516	X521	X523	X526	X534	X540	X542	X552	X564	X572	X585	X586	X591	X593	X607	X608	X610	X613	X646	X649	X651	X653	X655	X666	X668	X673	X675	X678	X682	X690	X696	X704	X706	X710	X715	X725	X736	X745	X762	X765	X797	X800	X807	X820	X822	X823	X824	X831	X834	X836	X849	X854	X858	X872	X875	X883	X927	X941	X945	X946	X954	X973	X975	X1005	X1018	X1019	X1022	X1030	X1035	X1037	X1050	X1077	X1081	X1086	X1097	X1109	X1114	X1162	X1169	X1190	X1227	X1231
Goose_Lake_IL_Nat1	10	53	114	85	0	0	17	49	93	35	28	0	13	35	3	0	12	4322	0	11	0	18	3	0	0	1	1	12	0	93	0	3	10	0	0	48	0	0	5	14	0	0	0	0	0	0	14	1	0	0	0	0	65	0	0	0	3	0	0	0	0	0	0	0	1	0	0	7	0	0	108	5	0	0	0	0	4	431	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	9	0	0	0	0	496	1	0	0	0	300	0	8	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Goose_Lake_IL_Nat2	76	1327	1013	300	23	1	479	1060	9	42	170	0	172	45	56	0	0	9	0	81	0	36	198	0	0	66	0	74	0	27	0	1	2	49	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	38	0	0	0	0	35	48	12	0	0	0	0	7	0	0	0	0	12	10	0	0	0	11	0	0	1	0	0	30	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	79	0	0	0	0	0	0
Big_Osage_MO_Nat2	2	242	478	253	2	155	18	153	231	14	37	0	0	204	0	0	182	16	0	77	121	7	1	16	0	0	0	47	26	0	9	0	392	1	0	23	12	0	0	134	0	0	0	0	2	162	0	0	0	0	0	107	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	56	1	4	3	282	2	1	1	6	30	0	0	0	0	1	7	0	0	0	0	1	1	0	0	0	0	0	0	5	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	1	0	3	0	20	0	0	95	0	2	0	0	0	86	0	0	0	0	66	0	0	51	0	25	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0
Big_Osage_MO_Nat1	44	923	542	1479	2	281	257	115	733	14	193	0	2	234	1	1	2	10	0	53	204	1	0	119	0	20	0	338	26	1	266	0	1135	0	0	11	98	0	0	147	0	0	0	0	109	87	114	0	0	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	28	0	16	0	49	15	2	0	23	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	3	0	0	124	0	9	0	0	0	114	0	1	0	0	10	0	0	6	0	35	0	0	0	0	0	1	0	2	0	9	0	0	0	44	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
Little_Osage_MO_Nat2	11	128	6	1954	2	369	101	101	204	60	778	5	47	3	0	1	0	2	0	194	2	2	1	20	0	10	0	99	60	64	17	1	2	0	0	0	49	0	0	50	0	0	0	0	13	2	0	0	0	0	0	5	2	11	0	0	6	0	0	0	0	0	0	0	0	0	0	17	0	0	8	64	0	0	0	1	55	0	0	3	0	0	0	1	0	0	0	0	4	0	0	0	0	0	3	0	2	0	0	48	0	0	0	0	0	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	30	0	0	1	0	0	0	7	0	0	0	0	0	0	0	1	0	0	7	0	0	1	0	0	0	0	0	6	0	0	0	0	0	1	0	0
Little_Osage_MO_Nat1	229	511	278	646	0	104	12	114	90	38	190	0	2	114	0	0	20	336	0	81	11	72	1	88	0	1	0	97	39	2	121	0	4	0	0	0	85	0	0	30	0	0	0	0	30	18	0	0	1	0	0	8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	10	37	0	0	90	9	0	4	0	4	6	116	0	29	0	0	0	9	3	0	0	0	13	0	6	0	0	0	9	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	21	0	0	9	0	4	0	0	0	9	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0
Wahkontah_MO_Nat2	8	166	18	28	0	2	3	19	134	5	3	0	5	14	0	0	225	4	0	15	8	13	3	20	0	1	0	4	6	0	50	0	67	1	0	0	9	1	0	67	0	0	0	0	0	62	0	0	0	0	0	0	1	0	0	0	1	0	0	0	9	0	0	0	0	19	0	4	0	0	6	2	1	0	0	6	0	0	0	2	6	0	0	14	16	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wahkontah_MO_Nat1	14	427	203	421	0	0	57	181	160	58	132	0	125	134	0	0	162	1	0	73	19	266	0	65	0	12	0	35	97	0	34	0	198	91	0	0	42	0	0	72	0	0	0	0	9	43	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	215	0	9	0	0	0	25	0	0	0	17	18	0	1	184	86	0	0	0	33	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	4	0	0	0	0	0	0	0	0	29	0	0	22	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taberville_MO_Nat1	105	265	611	1317	8	1	48	243	46	55	104	0	13	303	0	0	96	344	0	38	186	5	1	17	0	11	2	2	3	1	18	3	0	0	0	0	14	0	1	8	0	0	0	0	20	13	19	11	8	0	0	29	0	1	0	36	179	0	0	1	0	0	0	0	1	1	0	1	0	0	0	2	0	0	1	4	0	73	0	0	0	0	0	2	2	0	3	0	3	1	7	0	0	0	0	0	0	0	0	0	163	0	0	8	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	38	6	37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	32	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
Taberville_MO_Nat2	24	840	1444	738	0	7	24	608	417	98	62	0	0	664	0	0	1244	67	0	20	174	0	0	174	0	3	0	1620	33	0	334	210	805	0	0	123	67	0	0	164	0	0	0	0	97	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	247	0	0	0	3	0	1	0	50	9	5	1	24	0	6	0	9	117	0	0	0	8	1	1	0	0	0	0	0	0	1	0	1	17	0	0	40	0	0	0	0	0	370	0	0	0	0	4	0	0	0	1	222	0	1	0	6	0	0	11	0	14	0	0	0	2	0	0	12	0	8	0	0	4	0	100	0	0	0	0	0	0	0	0	0	2	0	0	72	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	2
